Model,Accuracy,Precision,Recall,F1
Model A - controlled tree,0.7936583057264552,0.6138433515482696,0.6007130124777184,0.6072072072072072
Model B - deeper balanced tree,0.7046852815901562,0.4657236126224157,0.7629233511586453,0.5783783783783784
Model C - balanced final tree,0.7425461429247515,0.5101796407185629,0.7593582887700535,0.6103151862464183
